HomeTeam;AwayTeam;Year;HomeGoals;AwayGoals;TotalGoals
Saint Vincent and the Grenadines;Dominica;2019;1;0;1
Suriname;Nicaragua;2019;6;0;6
Saint Martin;United States Virgin Islands;2019;1;2;3
Cayman Islands;Barbados;2019;3;2;5
Equatorial Guinea;South Sudan;2019;1;0;1
Lesotho;Ethiopia;2019;1;1;2
Sierra Leone;Liberia;2019;1;0;1
Tanzania;Burundi;2019;1;1;2
Algeria;Benin;2019;1;0;1
Iraq;Uzbekistan;2019;0;0;0
Wales;Belarus;2019;1;0;1
Northern Ireland;Germany;2019;0;2;2
Estonia;Netherlands;2019;0;4;4
Azerbaijan;Croatia;2019;1;1;2
Hungary;Slovakia;2019;1;2;3
Poland;Austria;2019;0;0;0
Slovenia;Israel;2019;3;2;5
Latvia;North Macedonia;2019;0;2;2
Scotland;Belgium;2019;0;4;4
Russia;Kazakhstan;2019;1;0;1
San Marino;Cyprus;2019;0;4;4
Trinidad and Tobago;Martinique;2019;2;2;4
Antigua and Barbuda;Aruba;2019;2;1;3
Guyana;Jamaica;2019;0;4;4
Bahamas;Bonaire;2019;2;1;3
Argentina;Mexico;2019;4;0;4
Brazil;Peru;2019;0;1;1
Colombia;Venezuela;2019;0;0;0
Ecuador;Bolivia;2019;3;0;3
Honduras;Chile;2019;2;1;3
Ivory Coast;Tunisia;2019;2;1;3
Jordan;Paraguay;2019;2;4;6
Morocco;Niger;2019;1;0;1
Oman;Lebanon;2019;1;0;1
Republic of Ireland;Bulgaria;2019;3;1;4
Ukraine;Nigeria;2019;2;2;4
United States;Uruguay;2019;1;1;2
England;Kosovo;2019;5;3;8
Montenegro;Czech Republic;2019;0;3;3
Luxembourg;Serbia;2019;1;3;4
Lithuania;Portugal;2019;1;5;6
Albania;Iceland;2019;4;2;6
France;Andorra;2019;3;0;3
Moldova;Turkey;2019;0;4;4
Cuba;Canada;2019;0;1;1
Haiti;Curaçao;2019;1;1;2
Montserrat;Saint Lucia;2019;1;1;2
Dominican Republic;El Salvador;2019;1;0;1
Puerto Rico;Guatemala;2019;0;5;5
Turks and Caicos Islands;Guadeloupe;2019;0;3;3
Guam;Philippines;2019;1;4;5
Maldives;China PR;2019;0;5;5
Kuwait;Australia;2019;0;3;3
Taiwan;Nepal;2019;0;2;2
Cambodia;Bahrain;2019;0;1;1
Hong Kong;Iran;2019;0;2;2
Yemen;Saudi Arabia;2019;2;2;4
Singapore;Palestine;2019;2;1;3
Afghanistan;Bangladesh;2019;1;0;1
Qatar;India;2019;0;0;0
Mongolia;Tajikistan;2019;0;1;1
Myanmar;Japan;2019;0;2;2
Indonesia;Thailand;2019;0;3;3
Malaysia;United Arab Emirates;2019;1;2;3
Turkmenistan;South Korea;2019;0;2;2
Sri Lanka;North Korea;2019;0;1;1
Angola;Gambia;2019;2;1;3
Guinea-Bissau;São Tomé and Príncipe;2019;2;1;3
Malawi;Botswana;2019;1;0;1
Mozambique;Mauritius;2019;2;0;2
Namibia;Eritrea;2019;2;0;2
Rwanda;Seychelles;2019;7;0;7
Sudan;Chad;2019;0;0;0
Eswatini;Djibouti;2019;0;0;0
Togo;Comoros;2019;2;0;2
Zimbabwe;Somalia;2019;3;1;4
DR Congo;Rwanda;2019;2;3;5
Burundi;Uganda;2019;0;3;3
Algeria;Morocco;2019;0;0;0
Tunisia;Libya;2019;1;0;1
Mauritania;Mali;2019;0;0;0
Senegal;Guinea;2019;1;0;1
Central African Republic;DR Congo;2019;0;2;2
Equatorial Guinea;Congo;2019;2;2;4
Ethiopia;Rwanda;2019;0;1;1
Tanzania;Sudan;2019;0;1;1
Madagascar;Namibia;2019;1;0;1
Eswatini;Zambia;2019;0;1;1
Zimbabwe;Lesotho;2019;3;1;4
Ghana;Burkina Faso;2019;0;1;1
Niger;Ivory Coast;2019;2;0;2
Togo;Nigeria;2019;4;1;5
Bangladesh;Bhutan;2019;4;1;5
Botswana;Liberia;2019;0;0;0
Mexico;Trinidad and Tobago;2019;2;0;2
Bangladesh;Bhutan;2019;2;0;2
Jordan;Singapore;2019;0;0;0
Malaysia;Sri Lanka;2019;6;0;6
Djibouti;Gambia;2019;1;1;2
Liberia;Chad;2019;1;0;1
Mauritius;São Tomé and Príncipe;2019;1;3;4
South Sudan;Seychelles;2019;2;1;3
Bahrain;Azerbaijan;2019;2;3;5
Germany;Argentina;2019;2;2;4
Belarus;Estonia;2019;0;0;0
Netherlands;Northern Ireland;2019;3;1;4
Croatia;Hungary;2019;3;0;3
Slovakia;Wales;2019;1;1;2
Austria;Israel;2019;3;1;4
North Macedonia;Slovenia;2019;2;1;3
Latvia;Poland;2019;0;3;3
Kazakhstan;Cyprus;2019;1;2;3
Belgium;San Marino;2019;9;0;9
Russia;Scotland;2019;4;0;4
Algeria;DR Congo;2019;1;1;2
Brazil;Senegal;2019;1;1;2
Cape Verde;Togo;2019;2;1;3
Gabon;Burkina Faso;2019;1;0;1
Kosovo;Gibraltar;2019;1;0;1
Niger;Zambia;2019;1;1;2
Serbia;Paraguay;2019;1;0;1
Thailand;Congo;2019;1;1;2
Venezuela;Bolivia;2019;4;1;5
Trinidad and Tobago;Honduras;2019;0;2;2
Haiti;Costa Rica;2019;1;1;2
Belize;Saint Kitts and Nevis;2019;0;4;4
French Guiana;Grenada;2019;0;0;0
British Virgin Islands;Bahamas;2019;0;4;4
Sint Maarten;Turks and Caicos Islands;2019;2;5;7
Syria;Maldives;2019;2;1;3
China PR;Guam;2019;7;0;7
Jordan;Kuwait;2019;0;0;0
Australia;Nepal;2019;5;0;5
Iran;Cambodia;2019;14;0;14
Iraq;Hong Kong;2019;2;0;2
Uzbekistan;Yemen;2019;5;0;5
Saudi Arabia;Singapore;2019;3;0;3
Bangladesh;Qatar;2019;0;2;2
Oman;Afghanistan;2019;3;0;3
Japan;Mongolia;2019;6;0;6
Kyrgyzstan;Myanmar;2019;7;0;7
United Arab Emirates;Indonesia;2019;5;0;5
Vietnam;Malaysia;2019;1;0;1
Lebanon;Turkmenistan;2019;2;1;3
South Korea;Sri Lanka;2019;8;0;8
Czech Republic;England;2019;2;1;3
Montenegro;Bulgaria;2019;0;0;0
Portugal;Luxembourg;2019;3;0;3
Ukraine;Lithuania;2019;2;0;2
Iceland;France;2019;0;1;1
Andorra;Moldova;2019;1;0;1
Turkey;Albania;2019;1;0;1
Morocco;Libya;2019;1;1;2
Uruguay;Peru;2019;1;0;1
United States;Cuba;2019;7;0;7
Bermuda;Mexico;2019;1;5;6
Antigua and Barbuda;Guyana;2019;2;1;3
Saint Vincent and the Grenadines;Suriname;2019;2;2;4
Nicaragua;Dominica;2019;3;1;4
Georgia;Republic of Ireland;2019;0;0;0
Denmark;Switzerland;2019;1;0;1
Faroe Islands;Romania;2019;0;3;3
Malta;Sweden;2019;0;4;4
Norway;Spain;2019;1;1;2
Bosnia and Herzegovina;Finland;2019;4;1;5
Italy;Greece;2019;2;0;2
Liechtenstein;Armenia;2019;1;1;2
Colombia;Chile;2019;0;0;0
Guinea;Comoros;2019;0;1;1
Ivory Coast;DR Congo;2019;3;1;4
Tunisia;Cameroon;2019;0;0;0
Dominican Republic;Saint Lucia;2019;3;0;3
Montserrat;El Salvador;2019;0;2;2
Jamaica;Aruba;2019;2;0;2
Barbados;United States Virgin Islands;2019;1;0;1
Saint Martin;Cayman Islands;2019;3;0;3
Anguilla;Guatemala;2019;0;5;5
Belarus;Netherlands;2019;1;2;3
Estonia;Germany;2019;0;3;3
Hungary;Azerbaijan;2019;1;0;1
Wales;Croatia;2019;1;1;2
Poland;North Macedonia;2019;2;0;2
Slovenia;Austria;2019;0;1;1
Scotland;San Marino;2019;6;0;6
Cyprus;Russia;2019;0;5;5
Kazakhstan;Belgium;2019;0;2;2
Gambia;Djibouti;2019;1;1;2
Chad;Liberia;2019;1;0;1
São Tomé and Príncipe;Mauritius;2019;2;1;3
Seychelles;South Sudan;2019;0;1;1
Benin;Zambia;2019;2;2;4
Brazil;Nigeria;2019;1;1;2
Ecuador;Argentina;2019;1;6;7
Equatorial Guinea;Togo;2019;1;1;2
Ethiopia;Uganda;2019;0;1;1
Kenya;Mozambique;2019;0;1;1
Lesotho;Malawi;2019;1;1;2
Niger;Central African Republic;2019;0;2;2
Slovakia;Paraguay;2019;1;1;2
South Africa;Mali;2019;2;1;3
Honduras;Martinique;2019;1;0;1
Costa Rica;Curaçao;2019;0;0;0
Saint Kitts and Nevis;Belize;2019;0;1;1
Grenada;French Guiana;2019;1;0;1
British Virgin Islands;Bonaire;2019;3;4;7
Kosovo;Montenegro;2019;2;0;2
Bulgaria;England;2019;0;6;6
Lithuania;Serbia;2019;1;2;3
Ukraine;Portugal;2019;2;1;3
Iceland;Andorra;2019;2;0;2
France;Turkey;2019;1;1;2
Moldova;Albania;2019;0;4;4
Czech Republic;Northern Ireland;2019;2;3;5
Egypt;Botswana;2019;1;0;1
Rwanda;Tanzania;2019;0;0;0
Venezuela;Trinidad and Tobago;2019;2;0;2
Guyana;Antigua and Barbuda;2019;5;1;6
Dominica;Nicaragua;2019;0;4;4
Suriname;Saint Vincent and the Grenadines;2019;0;1;1
Sint Maarten;Guadeloupe;2019;1;2;3
Gibraltar;Georgia;2019;2;3;5
Switzerland;Republic of Ireland;2019;2;0;2
Faroe Islands;Malta;2019;1;0;1
Sweden;Spain;2019;1;1;2
Romania;Norway;2019;1;1;2
Israel;Latvia;2019;3;1;4
Finland;Armenia;2019;3;0;3
Liechtenstein;Italy;2019;0;5;5
Greece;Bosnia and Herzegovina;2019;2;1;3
Algeria;Colombia;2019;3;0;3
Bermuda;Guatemala;2019;0;0;0
Bolivia;Haiti;2019;3;1;4
Chile;Guinea;2019;3;2;5
Denmark;Luxembourg;2019;4;0;4
Kuwait;Turkmenistan;2019;1;1;2
Mauritania;Libya;2019;0;0;0
Morocco;Gabon;2019;2;3;5
Peru;Uruguay;2019;1;1;2
Canada;United States;2019;2;0;2
Mexico;Panama;2019;3;1;4
Dominican Republic;Montserrat;2019;0;0;0
Saint Lucia;El Salvador;2019;0;2;2
Aruba;Jamaica;2019;0;6;6
Cayman Islands;Saint Martin;2019;1;0;1
United States Virgin Islands;Barbados;2019;0;4;4
Anguilla;Puerto Rico;2019;2;3;5
Syria;Guam;2019;4;0;4
Philippines;China PR;2019;0;0;0
Jordan;Nepal;2019;3;0;3
Taiwan;Australia;2019;1;7;8
Cambodia;Iraq;2019;0;4;4
Bahrain;Iran;2019;1;0;1
Palestine;Saudi Arabia;2019;0;0;0
Singapore;Uzbekistan;2019;1;3;4
India;Bangladesh;2019;1;1;2
Qatar;Oman;2019;2;1;3
Mongolia;Kyrgyzstan;2019;1;2;3
Tajikistan;Japan;2019;0;3;3
Thailand;United Arab Emirates;2019;2;1;3
Indonesia;Vietnam;2019;1;3;4
North Korea;South Korea;2019;0;0;0
Sri Lanka;Lebanon;2019;0;3;3
Sudan;Tanzania;2019;1;2;3
Rwanda;Ethiopia;2019;1;1;2
Uganda;Burundi;2019;3;0;3
Morocco;Algeria;2019;3;0;3
Namibia;Madagascar;2019;2;0;2
Zambia;Eswatini;2019;2;2;4
Nigeria;Togo;2019;2;0;2
Congo;Equatorial Guinea;2019;1;0;1
DR Congo;Central African Republic;2019;4;1;5
Libya;Tunisia;2019;1;2;3
Lesotho;Zimbabwe;2019;0;0;0
Guinea;Senegal;2019;1;0;1
Mali;Mauritania;2019;2;0;2
Burkina Faso;Ghana;2019;0;0;0
Ivory Coast;Niger;2019;1;0;1
Egypt;Liberia;2019;1;0;1
Nicaragua;Cuba;2019;0;0;0
Malaysia;Tajikistan;2019;1;0;1
Namibia;Zambia;2019;0;2;2
Uzbekistan;Kyrgyzstan;2019;3;1;4
Nicaragua;Cuba;2019;0;1;1
Trinidad and Tobago;Anguilla;2019;15;0;15
Namibia;Chad;2019;2;1;3
Malawi;South Sudan;2019;1;0;1
Burkina Faso;Uganda;2019;0;0;0
Sudan;São Tomé and Príncipe;2019;4;0;4
Angola;Gambia;2019;1;3;4
Central African Republic;Burundi;2019;2;0;2
Cameroon;Cape Verde;2019;0;0;0
Guinea-Bissau;Eswatini;2019;3;0;3
Senegal;Congo;2019;2;0;2
Nigeria;Benin;2019;2;1;3
Sierra Leone;Lesotho;2019;1;1;2
Mali;Guinea;2019;2;2;4
Ghana;South Africa;2019;2;0;2
DR Congo;Gabon;2019;0;0;0
Mozambique;Rwanda;2019;2;0;2
Egypt;Kenya;2019;1;1;2
Togo;Comoros;2019;0;1;1
Algeria;Zambia;2019;5;0;5
England;Montenegro;2019;7;0;7
Czech Republic;Kosovo;2019;2;1;3
Portugal;Lithuania;2019;6;0;6
Serbia;Luxembourg;2019;3;2;5
Turkey;Iceland;2019;0;0;0
Albania;Andorra;2019;2;2;4
France;Moldova;2019;2;1;3
Martinique;Honduras;2019;1;1;2
Curaçao;Costa Rica;2019;1;2;3
Saint Kitts and Nevis;Grenada;2019;0;0;0
Belize;French Guiana;2019;2;0;2
Bahamas;British Virgin Islands;2019;3;0;3
Turks and Caicos Islands;Sint Maarten;2019;3;2;5
Bulgaria;Paraguay;2019;0;1;1
Cambodia;Mongolia;2019;1;1;2
Ecuador;Trinidad and Tobago;2019;3;0;3
Qatar;Singapore;2019;2;0;2
Republic of Ireland;New Zealand;2019;3;1;4
Ukraine;Estonia;2019;1;0;1
Maldives;Philippines;2019;1;2;3
Syria;China PR;2019;2;1;3
Jordan;Australia;2019;0;1;1
Kuwait;Taiwan;2019;9;0;9
Iraq;Iran;2019;2;1;3
Hong Kong;Bahrain;2019;0;0;0
Uzbekistan;Saudi Arabia;2019;2;3;5
Yemen;Palestine;2019;1;0;1
Afghanistan;India;2019;1;1;2
Oman;Bangladesh;2019;4;1;5
Myanmar;Tajikistan;2019;4;3;7
Kyrgyzstan;Japan;2019;0;2;2
Vietnam;United Arab Emirates;2019;1;0;1
Malaysia;Thailand;2019;2;1;3
Lebanon;South Korea;2019;0;0;0
Turkmenistan;North Korea;2019;3;1;4
Morocco;Mauritania;2019;0;0;0
Zimbabwe;Botswana;2019;0;0;0
Tanzania;Equatorial Guinea;2019;2;1;3
Tunisia;Libya;2019;4;1;5
Denmark;Gibraltar;2019;6;0;6
Switzerland;Georgia;2019;1;0;1
Norway;Faroe Islands;2019;4;0;4
Spain;Malta;2019;7;0;7
Romania;Sweden;2019;0;2;2
Finland;Liechtenstein;2019;3;0;3
Brazil;Argentina;2019;0;1;1
Bosnia and Herzegovina;Italy;2019;0;3;3
Armenia;Greece;2019;0;1;1
United States;Canada;2019;4;1;5
Panama;Mexico;2019;0;3;3
Antigua and Barbuda;Jamaica;2019;0;2;2
Guyana;Aruba;2019;4;2;6
Saint Vincent and the Grenadines;Nicaragua;2019;1;0;1
Suriname;Dominica;2019;4;0;4
Colombia;Peru;2019;1;0;1
Hungary;Uruguay;2019;1;2;3
Ivory Coast;Niger;2019;1;0;1
Madagascar;Ethiopia;2019;1;0;1
Northern Ireland;Netherlands;2019;0;0;0
Germany;Belarus;2019;4;0;4
Croatia;Slovakia;2019;3;1;4
Azerbaijan;Wales;2019;0;2;2
Slovenia;Latvia;2019;1;0;1
Austria;North Macedonia;2019;2;1;3
Israel;Poland;2019;1;2;3
Cyprus;Scotland;2019;1;2;3
San Marino;Kazakhstan;2019;1;3;4
Russia;Belgium;2019;1;4;5
Saint Lucia;Dominican Republic;2019;1;0;1
El Salvador;Montserrat;2019;1;0;1
Saint Martin;Barbados;2019;1;0;1
Cayman Islands;United States Virgin Islands;2019;1;0;1
Guatemala;Puerto Rico;2019;5;0;5
Chad;Mali;2019;0;2;2
Guinea;Namibia;2019;2;0;2
South Sudan;Burkina Faso;2019;1;2;3
Uganda;Malawi;2019;2;0;2
South Africa;Sudan;2019;1;0;1
Gabon;Angola;2019;2;1;3
Rwanda;Cameroon;2019;0;1;1
Congo;Guinea-Bissau;2019;3;0;3
Eswatini;Senegal;2019;1;4;5
Benin;Sierra Leone;2019;1;0;1
Lesotho;Nigeria;2019;2;4;6
Kosovo;England;2019;0;4;4
Bulgaria;Czech Republic;2019;1;0;1
Luxembourg;Portugal;2019;0;2;2
Serbia;Ukraine;2019;2;2;4
Albania;France;2019;0;2;2
Andorra;Turkey;2019;0;2;2
Moldova;Iceland;2019;1;2;3
Honduras;Trinidad and Tobago;2019;4;0;4
Costa Rica;Haiti;2019;1;1;2
Grenada;Belize;2019;3;2;5
French Guiana;Saint Kitts and Nevis;2019;3;1;4
Bonaire;Bahamas;2019;1;1;2
Guadeloupe;Turks and Caicos Islands;2019;10;0;10
Lithuania;New Zealand;2019;1;0;1
São Tomé and Príncipe;Ghana;2019;0;1;1
Gambia;DR Congo;2019;2;2;4
Cape Verde;Mozambique;2019;2;2;4
Comoros;Egypt;2019;0;0;0
Kenya;Togo;2019;1;1;2
Botswana;Algeria;2019;0;1;1
Niger;Madagascar;2019;2;6;8
Republic of Ireland;Denmark;2019;1;1;2
Gibraltar;Switzerland;2019;1;6;7
Malta;Norway;2019;1;2;3
Spain;Romania;2019;5;0;5
Sweden;Faroe Islands;2019;3;0;3
Italy;Armenia;2019;9;1;10
Liechtenstein;Bosnia and Herzegovina;2019;0;3;3
Greece;Finland;2019;2;1;3
Jamaica;Guyana;2019;1;1;2
Aruba;Antigua and Barbuda;2019;2;3;5
Nicaragua;Suriname;2019;1;2;3
Dominica;Saint Vincent and the Grenadines;2019;1;0;1
Argentina;Uruguay;2019;2;2;4
Burundi;Morocco;2019;0;3;3
Mauritania;Central African Republic;2019;2;0;2
Zambia;Zimbabwe;2019;1;2;3
Equatorial Guinea;Tunisia;2019;0;1;1
Libya;Tanzania;2019;2;1;3
Ethiopia;Ivory Coast;2019;2;1;3
Germany;Northern Ireland;2019;6;1;7
Netherlands;Estonia;2019;5;0;5
Wales;Hungary;2019;2;0;2
Slovakia;Azerbaijan;2019;2;0;2
North Macedonia;Israel;2019;1;0;1
Japan;Venezuela;2019;1;4;5
Poland;Slovenia;2019;3;2;5
Latvia;Austria;2019;1;0;1
Scotland;Kazakhstan;2019;3;1;4
Belgium;Cyprus;2019;6;1;7
San Marino;Russia;2019;0;5;5
Cuba;United States;2019;0;4;4
Mexico;Bermuda;2019;2;1;3
El Salvador;Dominican Republic;2019;2;0;2
Saint Lucia;Montserrat;2019;0;1;1
Barbados;Cayman Islands;2019;3;0;3
United States Virgin Islands;Saint Martin;2019;1;2;3
Puerto Rico;Anguilla;2019;3;0;3
Brazil;South Korea;2019;3;0;3
Croatia;Georgia;2019;2;1;3
Ecuador;Colombia;2019;0;1;1
Montenegro;Belarus;2019;2;0;2
Saudi Arabia;Paraguay;2019;0;0;0
Maldives;Guam;2019;3;1;4
Syria;Philippines;2019;1;0;1
Nepal;Kuwait;2019;0;1;1
Jordan;Taiwan;2019;5;0;5
Iraq;Bahrain;2019;0;0;0
Hong Kong;Cambodia;2019;2;0;2
Uzbekistan;Palestine;2019;2;0;2
Yemen;Singapore;2019;1;2;3
Afghanistan;Qatar;2019;0;1;1
Oman;India;2019;1;0;1
Myanmar;Mongolia;2019;1;0;1
Kyrgyzstan;Tajikistan;2019;1;1;2
Vietnam;Thailand;2019;0;0;0
Malaysia;Indonesia;2019;2;0;2
Turkmenistan;Sri Lanka;2019;2;0;2
Lebanon;North Korea;2019;0;0;0
Guatemala;Antigua and Barbuda;2019;8;0;8
Qatar;Iraq;2019;1;2;3
United Arab Emirates;Yemen;2019;3;0;3
Oman;Bahrain;2019;0;0;0
Saudi Arabia;Kuwait;2019;1;3;4
United Arab Emirates;Iraq;2019;0;2;2
Qatar;Yemen;2019;6;0;6
Kuwait;Oman;2019;1;2;3
Bahrain;Saudi Arabia;2019;0;2;2
Qatar;United Arab Emirates;2019;4;2;6
Yemen;Iraq;2019;0;0;0
Kuwait;Bahrain;2019;2;4;6
Oman;Saudi Arabia;2019;1;3;4
Iraq;Bahrain;2019;2;2;4
Qatar;Saudi Arabia;2019;0;1;1
Bahrain;Saudi Arabia;2019;1;0;1
China PR;Japan;2019;1;2;3
South Korea;Hong Kong;2019;2;0;2
Japan;Hong Kong;2019;5;0;5
South Korea;China PR;2019;1;0;1
Hong Kong;China PR;2019;0;2;2
South Korea;Japan;2019;1;0;1
Barbados;Canada;2020;1;4;5
Moldova;Sweden;2020;0;1;1
Barbados;Canada;2020;1;4;5
Kosovo;Sweden;2020;0;1;1
Canada;Iceland;2020;0;1;1
El Salvador;Iceland;2020;0;1;1
United States;Costa Rica;2020;1;0;1
Germany;Spain;2020;1;1;2
Ukraine;Switzerland;2020;2;1;3
Russia;Serbia;2020;3;1;4
Turkey;Hungary;2020;0;1;1
Bulgaria;Republic of Ireland;2020;1;1;2
Finland;Wales;2020;0;1;1
Moldova;Kosovo;2020;1;1;2
Slovenia;Greece;2020;0;0;0
Latvia;Andorra;2020;0;0;0
Faroe Islands;Malta;2020;3;2;5
Italy;Bosnia and Herzegovina;2020;1;1;2
Netherlands;Poland;2020;1;0;1
Norway;Austria;2020;1;2;3
Romania;Northern Ireland;2020;1;1;2
Scotland;Israel;2020;1;1;2
Slovakia;Czech Republic;2020;1;3;4
Lithuania;Kazakhstan;2020;0;2;2
Belarus;Albania;2020;0;2;2
Iceland;England;2020;0;1;1
Denmark;Belgium;2020;0;2;2
Portugal;Croatia;2020;4;1;5
Sweden;France;2020;0;1;1
Cyprus;Montenegro;2020;0;2;2
Azerbaijan;Luxembourg;2020;1;2;3
North Macedonia;Armenia;2020;2;1;3
Estonia;Georgia;2020;0;1;1
Gibraltar;San Marino;2020;1;0;1
Spain;Ukraine;2020;4;0;4
Switzerland;Germany;2020;1;1;2
Hungary;Russia;2020;2;3;5
Serbia;Turkey;2020;0;0;0
Wales;Bulgaria;2020;1;0;1
Republic of Ireland;Finland;2020;0;1;1
Slovenia;Moldova;2020;1;0;1
Kosovo;Greece;2020;1;2;3
Andorra;Faroe Islands;2020;0;1;1
Malta;Latvia;2020;1;1;2
Bosnia and Herzegovina;Poland;2020;1;2;3
Netherlands;Italy;2020;0;1;1
Northern Ireland;Norway;2020;1;5;6
Austria;Romania;2020;2;3;5
Czech Republic;Scotland;2020;1;2;3
Israel;Slovakia;2020;1;1;2
Kazakhstan;Belarus;2020;1;2;3
Albania;Lithuania;2020;0;1;1
Belgium;Iceland;2020;5;1;6
Denmark;England;2020;0;0;0
France;Croatia;2020;4;2;6
Sweden;Portugal;2020;0;2;2
Luxembourg;Montenegro;2020;0;1;1
Cyprus;Azerbaijan;2020;0;1;1
Armenia;Estonia;2020;2;0;2
Georgia;North Macedonia;2020;1;1;2
San Marino;Liechtenstein;2020;0;2;2
Nicaragua;Guatemala;2020;0;0;0
Andorra;Cape Verde;2020;1;2;3
Austria;Greece;2020;2;1;3
Cyprus;Czech Republic;2020;1;2;3
Denmark;Faroe Islands;2020;4;0;4
Estonia;Lithuania;2020;1;3;4
France;Ukraine;2020;7;1;8
Germany;Turkey;2020;3;3;6
Italy;Moldova;2020;6;0;6
Luxembourg;Liechtenstein;2020;1;2;3
Malta;Gibraltar;2020;2;0;2
Montenegro;Latvia;2020;1;1;2
Netherlands;Mexico;2020;0;1;1
Poland;Finland;2020;5;1;6
Portugal;Spain;2020;0;0;0
Slovenia;San Marino;2020;4;0;4
Switzerland;Croatia;2020;1;2;3
Zambia;Malawi;2020;1;0;1
Belgium;Ivory Coast;2020;1;1;2
England;Wales;2020;3;0;3
Russia;Sweden;2020;1;2;3
South Africa;Namibia;2020;1;1;2
Uzbekistan;Iran;2020;1;2;3
Paraguay;Peru;2020;2;2;4
Uruguay;Chile;2020;2;1;3
Argentina;Ecuador;2020;1;0;1
Iceland;Romania;2020;2;1;3
Bulgaria;Hungary;2020;1;3;4
Bosnia and Herzegovina;Northern Ireland;2020;1;1;2
Slovakia;Republic of Ireland;2020;0;0;0
Scotland;Israel;2020;0;0;0
Norway;Serbia;2020;1;2;3
Georgia;Belarus;2020;1;0;1
North Macedonia;Kosovo;2020;2;1;3
Burkina Faso;DR Congo;2020;3;0;3
Congo;Gambia;2020;0;1;1
Japan;Cameroon;2020;0;0;0
Kenya;Zambia;2020;2;1;3
Mali;Ghana;2020;3;0;3
Mauritania;Sierra Leone;2020;2;1;3
Morocco;Senegal;2020;3;1;4
Nigeria;Algeria;2020;0;1;1
Tunisia;Sudan;2020;3;0;3
Colombia;Venezuela;2020;3;0;3
Brazil;Bolivia;2020;5;0;5
Spain;Switzerland;2020;1;0;1
Ukraine;Germany;2020;1;2;3
Luxembourg;Cyprus;2020;2;0;2
Montenegro;Azerbaijan;2020;2;0;2
Faroe Islands;Latvia;2020;1;1;2
Andorra;Malta;2020;0;0;0
Liechtenstein;Gibraltar;2020;0;1;1
Cape Verde;Guinea;2020;1;2;3
Costa Rica;Panama;2020;0;1;1
Honduras;Nicaragua;2020;1;1;2
Niger;Chad;2020;2;0;2
Bosnia and Herzegovina;Netherlands;2020;0;0;0
Poland;Italy;2020;0;0;0
England;Belgium;2020;2;1;3
Iceland;Denmark;2020;0;3;3
Croatia;Sweden;2020;2;1;3
France;Portugal;2020;0;0;0
Norway;Romania;2020;4;0;4
Northern Ireland;Austria;2020;0;1;1
Scotland;Slovakia;2020;1;0;1
Israel;Czech Republic;2020;1;2;3
Serbia;Hungary;2020;0;1;1
Russia;Turkey;2020;1;1;2
Republic of Ireland;Wales;2020;0;0;0
Finland;Bulgaria;2020;2;0;2
Armenia;Georgia;2020;2;2;4
Estonia;North Macedonia;2020;3;3;6
Kosovo;Slovenia;2020;0;1;1
Greece;Moldova;2020;2;0;2
Kazakhstan;Albania;2020;0;0;0
Lithuania;Belarus;2020;2;2;4
Gabon;Benin;2020;0;2;2
Malawi;Zimbabwe;2020;0;0;0
South Africa;Zambia;2020;1;2;3
Tanzania;Burundi;2020;0;1;1
Burkina Faso;Madagascar;2020;2;1;3
Ghana;Qatar;2020;5;1;6
Togo;Sudan;2020;1;1;2
United Arab Emirates;Uzbekistan;2020;1;2;3
Cameroon;South Sudan;2020;0;0;0
Germany;Switzerland;2020;3;3;6
Ukraine;Spain;2020;1;0;1
Azerbaijan;Cyprus;2020;0;0;0
Montenegro;Luxembourg;2020;1;2;3
Latvia;Malta;2020;0;1;1
Faroe Islands;Andorra;2020;2;0;2
Liechtenstein;San Marino;2020;0;0;0
Costa Rica;Panama;2020;0;1;1
Japan;Ivory Coast;2020;1;0;1
Mexico;Algeria;2020;2;2;4
Morocco;DR Congo;2020;1;1;2
Mozambique;Angola;2020;0;3;3
Niger;Sierra Leone;2020;1;0;1
Nigeria;Tunisia;2020;1;1;2
Bolivia;Argentina;2020;1;2;3
Ecuador;Uruguay;2020;4;2;6
Venezuela;Paraguay;2020;0;1;1
Peru;Brazil;2020;2;4;6
Chile;Colombia;2020;2;2;4
Italy;Netherlands;2020;1;1;2
Poland;Bosnia and Herzegovina;2020;3;0;3
Iceland;Belgium;2020;1;2;3
England;Denmark;2020;0;1;1
Portugal;Sweden;2020;3;0;3
Croatia;France;2020;1;2;3
Norway;Northern Ireland;2020;1;0;1
Romania;Austria;2020;0;1;1
Scotland;Czech Republic;2020;1;0;1
Slovakia;Israel;2020;2;3;5
Russia;Hungary;2020;0;0;0
Turkey;Serbia;2020;2;2;4
Finland;Republic of Ireland;2020;1;0;1
Bulgaria;Wales;2020;0;1;1
North Macedonia;Georgia;2020;1;1;2
Estonia;Armenia;2020;1;1;2
Greece;Kosovo;2020;0;0;0
Moldova;Slovenia;2020;0;4;4
Lithuania;Albania;2020;0;0;0
Belarus;Kazakhstan;2020;2;0;2
Ethiopia;Sudan;2020;2;2;4
Bahrain;Tajikistan;2020;1;0;1
Albania;Kosovo;2020;2;1;3
Belgium;Switzerland;2020;2;1;3
Bulgaria;Gibraltar;2020;3;0;3
Denmark;Sweden;2020;2;0;2
France;Finland;2020;0;2;2
